country,year,crisis_bin,crisis_h1,crisis_h2,crisis_h3,z1,z2,z3,z4
Australia,1875,0,0,0,0,-0.0052891524222609945,0.005992916447344575,-0.012703946929886271,-0.006410438544491875
Australia,1876,0,0,0,0,-0.0017094001464234118,-0.003242209913522736,-0.006387177687799305,0.005417689543458587
Australia,1877,0,0,0,0,0.0027893235228490815,-0.015218298706657472,0.004482182546792356,-0.019293613951300238
Australia,1878,0,0,0,0,0.0006333376518750159,0.0012800333967886218,0.0101947505028887,0.01320255681153645
Australia,1879,0,0,0,0,0.005801854011626778,-0.011143518396917537,-0.0031477234926637985,0.0026117720709151132
Australia,1880,0,0,0,0,0.00992100091459779,-0.015134314385025263,-0.013714652642259666,0.013384371541047602
Australia,1881,0,0,0,0,-0.00014148116243678705,-0.003646598836698019,0.001143457143600841,-0.013786620556325051
Australia,1882,0,0,0,0,-0.007473323351551435,-0.0007899384272683383,0.01815872221004994,-0.002885479658955142
Australia,1883,0,0,0,0,0.0016906194094472532,-0.00062163348999697,0.005004249033719297,0.007861691470747409
Australia,1884,0,0,0,0,0.005269196222162767,-0.0043024689518076,-0.015353440995117493,0.004874863307143965
Australia,1885,0,0,0,0,-0.0022427364729828954,0.015787453282378766,0.007494291567302248,-0.00340938620123949
Australia,1886,0,0,0,0,0.002338233997078029,0.0005716425802490622,0.00794203544115766,-0.005583081803602913
Australia,1887,0,0,0,0,-0.0034542022663197353,0.0045522283842928495,-0.007259085478929213,-0.004560534783324415
Australia,1888,0,0,0,0,-0.0040662646173860685,0.004610487887359295,0.0010269981736733954,0.00878319492026166
Australia,1889,0,0,0,0,-0.004566399799529797,0.003633527308657284,0.020290267806730617,-0.007171412023984803
Australia,1890,0,0,0,0,0.004073619473556999,0.002357748293302453,0.007873436358941496,-0.003389210995556208
Australia,1891,0,0,0,0,0.006937573860111933,-0.004513390263585633,-0.0029694728150606647,0.01586441557032268
Australia,1892,0,0,0,0,0.012011478916982309,-0.019484910458554376,0.007133310347553826,0.008183086518634192
Australia,1893,0,0,0,0,-0.004542309086734877,0.009015402792119837,-0.0017092921267852766,-0.012497752911969612
Australia,1894,0,0,0,0,0.009321973305945933,-0.010593999208970117,0.0034404065826178936,0.006769605239145264
Australia,1895,0,0,0,0,0.0011253086904967366,-0.0030194011306711923,0.005373589976591673,0.0023140276485989824
Australia,1896,0,0,0,0,-0.007130687943729385,0.0017352770681909333,0.005821315837707591,0.012490549279886423
Australia,1897,0,0,0,0,-0.00701986625774509,-0.0047200756705916315,-0.008931215778902761,-0.015766513584685532
Australia,1898,0,0,0,0,-0.00013569032639131507,0.001488343639916671,0.0013405088393472968,-0.011508120381320593
Australia,1899,0,0,0,0,0.004216251423586029,-0.01512400212070024,-0.0003503398785560701,-0.003010930329364542
