epoch,elbo_train,elbo_val
1,2.2641493629693716,-1.5030627557243752
2,1.5866550932117711,-1.2156249620684159
3,1.444916201972642,-1.052450193201531
4,1.247592096546761,-1.0504979887611972
5,1.231622736669753,-0.972976079449045
6,1.2038979573419375,-0.9552089543323324
7,1.1662531979453803,-0.9601039702921722
8,1.1241951451586218,-0.9121794067357171
9,1.1785881524553776,-0.8913410226796392
10,1.1332045496029004,-0.8875333358966752
11,1.1771173879011692,-0.870522394780955
12,1.0713598910562219,-0.8756508771377566
13,1.1006907279159348,-0.8697826470739671
14,1.088756942675161,-0.8676396948671415
15,1.0648645706514714,-0.8580553492190863
16,1.1062991711121892,-0.8554873122356933
17,1.0598437502380407,-0.855580346596138
18,1.0613963978096514,-0.8522592741585728
19,1.1256009855498301,-0.8364188440437561
20,1.0553343348389574,-0.8382886836057154
21,1.0630791919171012,-0.8400046994934878
22,1.0920419115249156,-0.8409243250937338
23,1.0487658057740732,-0.8366443127858735
24,1.06028911395107,-0.8475667897515565
25,1.0403461344476406,-0.8427167410218448
26,1.0457525390431763,-0.8315636386368255
27,1.0807953680828448,-0.8349604394962095
28,1.3024945928130265,-0.8486167572181832
29,1.1738390327099093,-0.84616300775794
30,1.054086050279869,-0.8499675748464371
31,1.0602241218103128,-0.8389443399309068
32,1.0455767107507077,-0.838163268481776
33,1.029268136128769,-0.8311960519168924
34,1.0278621922668842,-0.8245716631562305
35,1.0481552936638225,-0.8257710245333549
36,1.124907322312113,-0.8307141038005788
37,1.040408474107661,-0.8294764701796243
38,1.0262719975540753,-0.8322429507932159
39,1.026016193562592,-0.8285984243369892
40,1.0537169155648998,-0.827209950387887
41,1.0374550853047992,-0.833043641885209
42,1.0297803076012146,-0.8218332859329344
43,1.0315569360517012,-0.8220957319066348
44,1.0326738688333477,-0.8164428279611918
45,1.0240051916765711,-0.8110862695346261
46,1.0260307118590135,-0.8111075820061873
47,1.0310379410529158,-0.8146377255051703
48,1.0335362842527667,-0.8142526689938927
49,1.0376218498811935,-0.8176868802009407
50,1.040822630635404,-0.8172053497451042
51,1.032173444193291,-0.8164974685417462
52,1.0334359341610095,-0.8152258540951447
53,1.0361052086404294,-0.8109960642893729
54,1.028946687218294,-0.8150525303097985
55,1.0181102952368661,-0.8145794868069632
56,1.0287563005158686,-0.8090808131010957
57,1.0496877926343824,-0.8114056182039533
58,1.0534583431160867,-0.8119012140686537
59,1.0713826884190556,-0.8089869577865306
60,1.064236718932966,-0.8163454082157862
61,1.03862387083827,-0.8186227616065296
62,1.0333852486002963,-0.8089425059683092
63,1.0245177769408818,-0.8091288567962975
64,1.043163475984238,-0.8100971017108874
65,1.0264122738587984,-0.8097528179243864
66,1.0185828207610537,-0.8074139732202812
67,1.022565726513973,-0.8074501911143204
68,1.0265221354213923,-0.8100752248665658
69,1.0676451750539921,-0.8087176274042396
70,1.0261981348462266,-0.8072404305688927
71,1.0419951400246696,-0.8095676813699293
72,1.0575651699441069,-0.8123253685109546
73,1.0342120471874556,-0.8143092795124388
74,1.0426502491704195,-0.8132906210190258
75,1.1000046699752393,-0.8172707725066342
76,1.0268867695359125,-0.814395817244431
77,1.013050912346566,-0.8189173938701799
78,1.030694699316852,-0.8080926696765017
79,1.0608044385078261,-0.8135953498051938
80,1.0239147648464941,-0.8107162465361596
81,1.015717395520525,-0.8077645744175886
82,1.0252540774899916,-0.8086312697551699
83,1.0772140573508704,-0.8053568132758412
84,1.0588476410880465,-0.8041021594359272
85,1.107162670291216,-0.8014690443216979
86,1.0273740167799374,-0.8062338556411763
87,1.0277536577059556,-0.8096298806740947
88,1.0199009536573205,-0.8055880640176546
89,1.0203192729761452,-0.8053584839697223
90,1.0280599662795435,-0.80607232423666
91,1.0196681890324102,-0.8110259597581041
92,1.0409539662372116,-0.8089473288555329
93,1.025859871360421,-0.8100482963739971
94,1.0224511040450912,-0.809632977415606
95,1.033294579238694,-0.8101253409307554
96,1.022906355938461,-0.8067435870717464
97,1.0331603641104268,-0.8108573682837529
98,1.0185640463224745,-0.8061354191742071
99,1.0214360849508166,-0.8021164524115236
100,1.0375934434325007,-0.8047787223308229
101,1.0322219777843902,-0.8055900200231643
102,1.0236113994658558,-0.802746280782334
103,1.0215807687499192,-0.8058530828905736
104,1.0380849095412907,-0.8038476696271448
105,1.0298370857191093,-0.8063686310199948
106,1.04550821816462,-0.8063875650838895
107,1.0352422816994427,-0.8053808928536156
108,1.2656007645467455,-0.8098913047276823
109,1.2875230438829923,-0.8100134615663428
110,1.0462422472810742,-0.8116923201844874
111,1.0219984878391664,-0.8109606779086719
112,1.0469344543238328,-0.8124011314348243
113,1.0178561783346702,-0.8044397348680192
114,1.0120541283949565,-0.8062907972568049
115,1.0241152321844007,-0.8047395147090569
116,1.0395233562947435,-0.8072259508297379
117,1.0362623813565222,-0.8043834148360414
118,1.0210627649801414,-0.8021072306809329
119,1.03773826414702,-0.8016045784810327
120,1.0283879253984445,-0.8045255680277643
121,1.0321120194713207,-0.8036542226557937
122,1.0273834431860835,-0.8050806951785838
123,1.0709464076507373,-0.8049382515354575
124,1.020185484378871,-0.8034521071052496
125,1.0230641427877245,-0.8038403824472082
126,1.1448825133422829,-0.8065793260738522
127,1.0340184801873074,-0.8052621982647628
128,1.0311741794255294,-0.802269564224907
129,1.0221224075240873,-0.8060619103549898
130,1.0190640610296438,-0.8045187858686159
131,1.0201036350053034,-0.8056102800664061
132,1.0168029686480509,-0.8013843653692814
133,1.0335853802466484,-0.8044025460863017
134,1.0218119060787723,-0.8032202601873625
135,1.0328006161373182,-0.8023417044341278
136,1.0469321422524622,-0.8027016906421595
137,1.0357851172383303,-0.80436012992666
138,1.0380847037568857,-0.8061660942996787
139,1.0324122962256057,-0.8042310004605506
140,1.0213189896033767,-0.8054924050244717
141,1.030929713861376,-0.8062126275617726
142,1.0567868687198543,-0.8072304738444216
143,1.0333465068402825,-0.8076829430523138
144,1.0145133293447888,-0.8101432844295381
145,1.0549174700391024,-0.8072553642667162
146,1.0351507603694325,-0.8092562027224462
147,1.0214971143783995,-0.8054084906782407
148,1.0207343961378672,-0.8101577578597948
149,1.0162594893685177,-0.8085028133364565
150,1.0291698350704077,-0.8091348476563857
151,1.0318470608245798,-0.8099545495064798
152,1.0301779234912227,-0.8069645140528537
153,1.02540639301378,-0.8074947153502059
154,1.2814996239630578,-0.8058443946945293
155,1.0899776711512614,-0.8081287546835558
156,1.0099990970323935,-0.8067114885786328
157,1.0170836007448,-0.8032436920044749
158,1.0276463401020568,-0.8034918442991765
159,1.0250073187549416,-0.8041042295509252
160,1.0268433213950474,-0.8014571733845482
161,1.0218765845616355,-0.8027453883168574
162,1.0267923555458294,-0.8049722905772484
163,1.0215354376799912,-0.8053078279441925
164,1.02194803172525,-0.8061855426956877
165,1.023115993699129,-0.8053939379944609
166,1.226020792287768,-0.8054455603269256
167,1.0216753282507627,-0.8075492715206234
168,1.2648554790527404,-0.8065898024927887
169,1.0150812291063298,-0.8078194734925038
170,1.023441649433834,-0.8061794958168182
171,1.023346321729234,-0.8081369381831623
172,1.045056294565967,-0.8065835330421776
173,1.081427239580337,-0.8071797470765257
174,1.0374806328287058,-0.8054096168712626
175,1.0305181740688207,-0.8063735830907233
176,1.0279384732050802,-0.8042169725175236
177,1.0221800443358229,-0.8075313537247142
178,1.0357532374611176,-0.8055143378466767
179,1.0967124785971591,-0.8060545880383495
180,1.0286287849660074,-0.8043898405354308
181,1.0244016793883832,-0.8031402614379686
182,1.0326872877025846,-0.8018853210328724
183,1.0250025125560427,-0.8031528451401239
184,1.0226683789267663,-0.8030788804445037
185,1.0304874331639662,-0.8041206050740126
186,1.0369710794283613,-0.8020473131265667
187,1.0513116159163463,-0.8031376651755394
