epoch,mse_train,mse_val
1,1.3595925887496632,1.0791869262067777
2,1.104156651191603,1.0563596046849044
3,1.0560237567490032,0.969683758193494
4,1.0106681561990896,1.0305577079527761
5,0.995079061873167,0.9335365564803163
6,0.9903685795270072,0.9199595162381142
7,0.9668967631091141,0.9640152701476093
8,0.9455014580951173,0.940102537614737
9,0.9340485724079504,0.9242567619076721
10,0.936396576133314,0.9579651743345389
11,0.9031577359411378,0.9049912303623983
12,0.9208569740976588,0.8983129139664456
13,0.9117933990661442,0.8875214977990818
14,0.8794131304965216,0.8353097769453405
15,0.8703717645739729,0.808971257841503
16,0.8518437716681835,0.7871877016257921
17,0.8459784411897449,0.7831300853339244
18,0.8197306251488081,0.7427165152703594
19,0.8042030869099961,0.7503946026804558
20,0.7879544762102586,0.7296463554677431
21,0.7750582654984133,0.7079799107650061
22,0.7459208401625916,0.6742054244508723
23,0.7444807238202585,0.6410992967189084
24,0.7151028646846476,0.6153262917054828
25,0.6976907526257456,0.6507855023484103
26,0.6913915999041214,0.5882606713518375
27,0.6806192506405391,0.5797074678762569
28,0.6596894898005302,0.6399760513442161
29,0.6401405501708785,0.5706510989424668
30,0.6286745262690835,0.518492039048091
31,0.6188357569274172,0.5145073405509348
32,0.611333478637675,0.4808698644192572
33,0.6011760123699277,0.530258558485386
34,0.5946414669631469,0.5027344149441597
35,0.5749598271693153,0.534962787823496
36,0.5756901239441015,0.4709470993124098
37,0.554180008777998,0.45627218727121766
38,0.5574814979127194,0.46663136501581737
39,0.5567996758835816,0.4419574405120933
40,0.5206499606381536,0.44506650113603813
41,0.53072283159147,0.4491330197874947
42,0.5235057485546941,0.4192031044517299
43,0.5045398569899562,0.4260872097551163
44,0.5102037033145048,0.445372869093085
45,0.5141669731362895,0.4087997771710258
46,0.5009342600043892,0.4178022137770998
47,0.5012729848354733,0.39389507226034953
48,0.4939283155262301,0.4271880313041488
49,0.4802276704803532,0.38720815015151894
50,0.4961200870476786,0.37989392233110614
51,0.48585956076836456,0.4001298837615723
52,0.4767687754043832,0.37759762960360965
53,0.4533206622584004,0.4083641668571582
54,0.4713810108891397,0.35867148989005954
55,0.47244071797179377,0.38304640037605936
56,0.4699123210332815,0.3618699463405407
57,0.4634000273924485,0.3109042151189735
58,0.45737589229874737,0.3672198230848608
59,0.4498717701812874,0.3764277545552472
60,0.44732303696195175,0.37405282784406074
61,0.4397375261036549,0.3538406652041889
62,0.45003225418745413,0.3482459471867985
63,0.4502874091822969,0.3301098483268474
64,0.47158797474834324,0.3607343049996144
65,0.4444562938684634,0.3496647734826842
66,0.45826728573802444,0.34900004815243846
67,0.4403622596139319,0.3356390611900427
68,0.4508863353770171,0.3546672342624422
69,0.4463016080529646,0.366970899790004
70,0.44068431309544387,0.3713156798514777
71,0.4614843626874123,0.3692594776027627
72,0.43380225351305607,0.3728379425695347
73,0.4481357792473569,0.3380556612559644
74,0.43982402367689194,0.34087364477369686
75,0.4512643819016187,0.366154466097048
76,0.43103207549470096,0.3464188323273611
77,0.4419582081897192,0.353587876917518
78,0.4406368341460937,0.34906988771186775
79,0.43224887267406736,0.30281339751230085
80,0.4207954946240201,0.31799982407827176
81,0.4464106574440495,0.3204913127145639
82,0.44979419493583006,0.34490182480824594
83,0.43515976340683427,0.32255356230284626
84,0.4422225207579927,0.31728661829087207
85,0.42719320744840317,0.35784236077376336
86,0.4372574497606176,0.344096223946167
87,0.4299852828513804,0.3721280894402347
88,0.43799467683377785,0.32980189074032557
89,0.4370655991839484,0.35279999583891447
90,0.44113159518249423,0.33691946142070867
91,0.43109262941670484,0.3775492471637725
92,0.42827632989003667,0.3268765739949135
93,0.4430035486377054,0.35059761189988037
94,0.43236576234681123,0.3584215277511754
95,0.44040557921885304,0.3465395019079429
96,0.43303429849717556,0.2963243390984926
97,0.4185737484209346,0.36380808873206266
98,0.43078336104968723,0.3500943503708006
99,0.4349870308106151,0.3404305783067752
100,0.4223863409540538,0.35578375894180064
101,0.42686855259265455,0.33032798980865136
102,0.41634320345183945,0.3378691918797174
103,0.43943831648498277,0.3446882955897132
104,0.42471361640100885,0.3396880422229873
105,0.4306505064264078,0.35223739452131964
106,0.419365750482447,0.37202173899890356
107,0.43932848015428005,0.38013705648449087
108,0.4220587531562452,0.3092759335712948
109,0.41400510214293595,0.35720040121624547
110,0.4040327387672944,0.3358438394036599
111,0.41833369885459615,0.31839910107377556
112,0.41864206411558513,0.3394646346399429
113,0.4319148927733994,0.3332248549441728
114,0.41443068222586427,0.3031475680640895
