mu,model,loss,threshold,fnr,fpr
0.55,LogitPanel,0.2620125786163522,0.21428697029295093,0.1333333333333333,0.4192872117400419
0.55,LogitVAE,0.28924528301886787,0.15918708501033707,0.19999999999999996,0.39832285115303984
0.55,LogitDDPM,0.2648846960167715,0.09430741658257842,0.11111111111111116,0.4528301886792453
0.6,LogitPanel,0.24771488469601677,0.21428697029295093,0.1333333333333333,0.4192872117400419
0.6,LogitVAE,0.2762264150943396,0.06963423305603075,0.1333333333333333,0.49056603773584906
0.6,LogitDDPM,0.24779874213836484,0.09430741658257842,0.11111111111111116,0.4528301886792453
0.65,LogitPanel,0.2334171907756813,0.21428697029295093,0.1333333333333333,0.4192872117400419
0.65,LogitVAE,0.2583647798742138,0.06963423305603075,0.1333333333333333,0.49056603773584906
0.65,LogitDDPM,0.2307127882599581,0.09430741658257842,0.11111111111111116,0.4528301886792453
0.7,LogitPanel,0.21911949685534587,0.21428697029295093,0.1333333333333333,0.4192872117400419
0.7,LogitVAE,0.23928721174004192,0.01683991574281648,0.0444444444444444,0.6939203354297694
0.7,LogitDDPM,0.21362683438155142,0.09430741658257842,0.11111111111111116,0.4528301886792453
0.75,LogitPanel,0.19968553459119498,0.0021968695076631946,0.0,0.7987421383647799
0.75,LogitVAE,0.20681341719077564,0.01683991574281648,0.0444444444444444,0.6939203354297694
0.75,LogitDDPM,0.1965408805031447,0.09430741658257842,0.11111111111111116,0.4528301886792453
0.8,LogitPanel,0.15974842767295594,0.0021968695076631946,0.0,0.7987421383647799
0.8,LogitVAE,0.17433962264150937,0.01683991574281648,0.0444444444444444,0.6939203354297694
0.8,LogitDDPM,0.16184486373165616,0.006251931756959671,0.0,0.8092243186582809
0.85,LogitPanel,0.11981132075471701,0.0021968695076631946,0.0,0.7987421383647799
0.85,LogitVAE,0.13712788259958075,0.0062433963687414905,0.022222222222222254,0.7882599580712788
0.85,LogitDDPM,0.12138364779874215,0.006251931756959671,0.0,0.8092243186582809
0.9,LogitPanel,0.07987421383647797,0.0021968695076631946,0.0,0.7987421383647799
0.9,LogitVAE,0.0951781970649895,0.00020493544857237963,0.0,0.9517819706498952
0.9,LogitDDPM,0.08092243186582808,0.006251931756959671,0.0,0.8092243186582809
0.95,LogitPanel,0.03993710691823903,0.0021968695076631946,0.0,0.7987421383647799
0.95,LogitVAE,0.0475890985324948,0.00020493544857237963,0.0,0.9517819706498952
0.95,LogitDDPM,0.04046121593291408,0.006251931756959671,0.0,0.8092243186582809
