C,model,auroc,auprc,loss,threshold,fnr,fpr
0.001,LogitPanel,0.8155602143023526,0.33304728113702387,0.1928721174004193,0.19545018513033569,0.0,0.7714884696016772
0.01,LogitPanel,0.8158863265781504,0.3572017909592572,0.18343815513626838,0.4005263994840282,0.11111111111111116,0.40041928721174
0.05,LogitPanel,0.8095038434661076,0.3510278053271089,0.19077568134171913,0.2546221047297131,0.11111111111111116,0.429769392033543
0.1,LogitPanel,0.8059631959003027,0.3559607627857976,0.19968553459119498,0.0021968695076631946,0.0,0.7987421383647799
0.5,LogitPanel,0.8049848590729093,0.34637437298343804,0.20230607966457023,9.549501005593795e-05,0.0,0.8092243186582809
1.0,LogitPanel,0.8073608199394363,0.34583459539775707,0.2028301886792453,1.5581263256443973e-05,0.0,0.8113207547169812
5.0,LogitPanel,0.8007919869555091,0.33805515085172777,0.21174004192872117,2.2701234703020334e-09,0.0,0.8469601677148847
